date,epic,direction,pnl,exit,duration
2025-11-17T12:00:51.825981,US100,SELL,22.377142857145373,TP,30s
2025-11-17T12:02:11.644420,US100,SELL,-8.388571428571595,SL,19s
2025-11-17T12:03:01.979333,US100,BUY,-8.857142857141298,SL,39s
2025-11-17T12:03:03.006182,US100,SELL,23.14714285714217,TP,131s
2025-11-17T12:03:09.040068,US100,SELL,22.86428571428769,TP,107s
2025-11-17T12:04:48.957901,US100,SELL,27.688571428570867,TP,85s
2025-11-17T12:06:03.662372,US100,SELL,-9.885714285715949,SL,69s
2025-11-17T12:08:04.622088,US100,SELL,-10.097142857142899,SL,38s
2025-11-17T12:09:01.916159,US100,BUY,-10.382857142856665,SL,34s
2025-11-17T12:12:20.830555,US100,BUY,-8.971428571428987,SL,22s
2025-11-17T12:12:22.332412,US100,BUY,-10.045714285715803,SL,266s
2025-11-17T12:12:22.332412,US100,BUY,-3.9530000000013388,TrailSL,387s
2025-11-17T12:12:22.332412,US100,BUY,-8.074000000000524,TrailSL,357s
2025-11-17T12:15:00.639800,US100,SELL,-9.262857142857683,SL,120s
2025-11-17T12:15:02.146223,US100,SELL,0.4860000000007858,TrailSL,214s
2025-11-17T12:15:02.396450,US100,SELL,-5.6560000000026776,TrailSL,153s
2025-11-17T12:15:07.195904,US100,SELL,-1.815999999998894,TrailSL,370s
2025-11-17T12:15:22.574863,US100,BUY,23.571428571427532,TP,52s
2025-11-17T12:16:20.443884,US100,BUY,2.161000000000058,TrailSL,79s
2025-11-17T12:17:19.437918,US100,BUY,-8.33142857142957,SL,16s
2025-11-17T12:19:16.241728,US100,SELL,-8.097142857142899,SL,163s
2025-11-17T12:21:00.737827,US100,BUY,-0.7570000000014261,TrailSL,328s
2025-11-17T12:21:00.989074,US100,BUY,-4.542000000001281,TrailSL,86s
2025-11-17T12:24:00.907808,US100,SELL,-8.354285714285652,SL,85s
2025-11-17T12:24:01.911372,US100,SELL,-1.440999999998894,TrailSL,177s
2025-11-17T12:26:46.098414,US100,BUY,-8.428571428572468,SL,70s
2025-11-17T12:28:39.542902,US100,BUY,-1.4130000000004657,TrailSL,274s
2025-11-17T12:30:00.510228,US100,SELL,22.534285714285943,TP,204s
2025-11-17T12:30:01.368146,US100,SELL,22.70714285714348,TP,114s
2025-11-17T12:30:20.826175,US100,SELL,22.927142857144645,TP,73s
2025-11-17T12:32:10.011450,US100,SELL,-8.799999999999272,SL,92s
2025-11-17T12:32:12.293157,US100,SELL,6.46900000000096,TrailSL,155s
2025-11-17T12:32:13.811956,US100,SELL,2.756999999997788,TrailSL,126s
2025-11-17T12:33:21.947781,US100,BUY,22.644285714286525,TP,103s
2025-11-17T12:35:02.878592,US100,BUY,0.22000000000116415,TrailSL,143s
2025-11-17T12:36:27.247798,US100,BUY,-9.091428571427969,SL,16s
2025-11-17T12:37:00.593009,US100,BUY,-9.045714285715803,SL,80s
2025-11-17T12:41:00.853043,US100,SELL,-9.680000000000291,SL,168s
2025-11-17T12:41:02.666261,US100,SELL,-6.234999999996944,TrailSL,230s
2025-11-17T12:41:02.668256,US100,SELL,2.4989999999997963,TrailSL,382s
2025-11-17T12:41:03.705519,US100,SELL,1.6829999999972642,TrailSL,262s
2025-11-17T12:43:50.894257,US100,BUY,-9.377142857141735,SL,156s
2025-11-17T12:44:40.451755,US100,SELL,-1.742999999998574,TrailSL,146s
2025-11-17T12:44:40.615184,US100,SELL,-9.21142857142695,SL,25s
2025-11-17T12:45:38.019211,US100,BUY,-9.6628571428555,SL,52s
2025-11-17T12:49:09.146961,US100,SELL,-9.531428571426659,SL,52s
2025-11-17T12:49:23.390514,US100,SELL,-0.9809999999997672,TrailSL,217s
2025-11-17T12:51:09.943494,US100,BUY,1.8690000000024156,TrailSL,110s
2025-11-17T12:51:48.778231,US100,BUY,-9.546999999998661,TrailSL,119s
2025-11-17T12:56:02.576669,US100,SELL,-8.44571428571362,SL,162s
2025-11-17T12:56:50.558633,US100,SELL,-5.562999999998283,TrailSL,270s
2025-11-17T12:56:53.593857,US100,SELL,-3.5689999999995052,TrailSL,304s
2025-11-17T12:57:12.415056,US100,SELL,2.2960000000020955,TrailSL,413s
2025-11-17T12:59:10.133234,US100,BUY,-7.565714285712602,SL,77s
2025-11-17T12:59:18.322930,US100,BUY,-1.3559999999997672,TrailSL,115s
2025-11-17T13:00:41.506421,US100,BUY,6.667999999997846,TrailSL,289s
2025-11-17T13:01:34.125160,US100,SELL,-7.279999999998836,SL,39s
2025-11-17T13:01:34.125160,US100,SELL,-2.642999999996391,TrailSL,70s
2025-11-17T13:03:23.581849,US100,BUY,-7.7657142857133294,SL,87s
2025-11-17T13:06:21.076397,US100,SELL,-8.811428571429133,SL,21s
2025-11-17T13:06:21.959168,US100,SELL,-2.1520000000018626,TrailSL,144s
2025-11-17T13:06:21.959168,US100,SELL,5.291000000001077,TrailSL,174s
2025-11-17T13:08:19.959272,US100,BUY,-9.450000000000728,TrailSL,48s
2025-11-17T13:09:59.719047,US100,SELL,28.63142857142884,TP,88s
2025-11-17T13:11:01.498505,US100,SELL,28.81999999999971,TP,120s
2025-11-17T13:11:08.645618,US100,SELL,30.155714285712747,TP,66s
2025-11-17T13:11:42.639034,US100,SELL,29.68428571428376,TP,70s
2025-11-17T13:15:07.359576,US100,SELL,8.032999999999447,TrailSL,245s
2025-11-17T13:15:10.882689,US100,SELL,0.6519999999982247,TrailSL,218s
2025-11-17T13:16:31.251847,US100,BUY,31.69571428571362,TP,178s
2025-11-17T13:17:34.038861,US100,BUY,30.37571428571391,TP,180s
2025-11-17T13:17:39.053698,US100,BUY,28.474285714284633,TP,125s
2025-11-17T13:17:43.050367,US100,BUY,28.36428571428405,TP,98s
2025-11-17T13:19:41.372573,US100,BUY,-7.824000000004162,TrailSL,126s
2025-11-17T13:20:22.676208,US100,BUY,4.8069999999970605,TrailSL,227s
2025-11-17T13:20:22.677208,US100,BUY,-10.21142857142695,SL,137s
2025-11-17T13:21:32.423775,US100,BUY,-9.165714285714785,SL,25s
2025-11-17T13:26:37.209374,US100,SELL,3.8299999999981083,TrailSL,421s
2025-11-17T13:27:33.524211,US100,SELL,-7.028000000002066,TrailSL,356s
2025-11-17T13:30:03.032667,US100,BUY,-9.622857142858265,SL,113s
2025-11-17T13:30:15.900063,US100,BUY,-10.074285714286816,SL,155s
2025-11-17T13:30:16.920416,US100,BUY,-6.799999999995634,TrailSL,216s
2025-11-17T13:30:34.518886,US100,SELL,24.48285714285521,TP,84s
2025-11-17T13:30:35.509933,US100,SELL,24.121428571426804,TP,55s
2025-11-17T13:30:38.765646,US100,SELL,24.671428571429715,TP,27s
2025-11-17T13:33:26.654275,US100,SELL,6.245999999999185,TrailSL,165s
2025-11-17T13:34:24.046777,US100,BUY,-9.205714285715658,SL,42s
2025-11-17T13:37:04.016496,US100,SELL,-1.5849999999991269,TrailSL,171s
2025-11-17T13:37:04.525058,US100,SELL,-5.190000000002328,TrailSL,141s
2025-11-17T13:37:46.690555,US100,BUY,-10.354285714285652,SL,31s
2025-11-17T13:37:59.622692,US100,BUY,-8.90400000000227,TrailSL,136s
2025-11-17T13:43:07.757799,US100,SELL,26.79285714285652,TP,322s
2025-11-17T13:44:30.362148,US100,SELL,26.02285714285972,TP,375s
2025-11-17T13:45:08.008210,US100,SELL,27.46857142857334,TP,292s
2025-11-17T13:46:23.761616,US100,SELL,-4.169000000005326,TrailSL,95s
2025-11-17T13:46:24.094533,US100,SELL,-1.3760000000002037,TrailSL,187s
2025-11-17T13:46:24.257944,US100,SELL,7.34599999999773,TrailSL,247s
2025-11-17T13:49:22.411611,US100,BUY,-8.588571428572322,SL,32s
2025-11-17T13:49:27.405447,US100,BUY,-4.825000000000728,TrailSL,67s
2025-11-17T13:49:30.626784,US100,BUY,-0.7259999999987485,TrailSL,192s
2025-11-17T13:49:47.714981,US100,BUY,1.059000000001106,TrailSL,239s
