date,epic,direction,pnl,exit,duration
2025-11-17T15:57:35.428330,EURUSD,BUY,0.0003614285714286236,TP,69s
2025-11-17T15:57:40.035672,EURUSD,BUY,0.0003567142857143768,TP,44s
2025-11-17T16:05:39.113085,EURUSD,BUY,0.00010460000000023228,TrailSL,462s
2025-11-17T16:09:07.768447,EURUSD,SELL,0.0003661428571428704,TP,302s
2025-11-17T16:10:22.448582,EURUSD,SELL,-0.00012857142857147785,SL,56s
2025-11-17T16:10:23.462818,EURUSD,SELL,-4.8000000000048004e-05,TrailSL,119s
2025-11-17T16:10:23.562479,EURUSD,SELL,-0.00011130000000014739,TrailSL,88s
2025-11-17T16:10:35.487886,EURUSD,SELL,0.00010779999999988021,TrailSL,483s
2025-11-17T16:17:10.606316,EURUSD,SELL,-0.0001314285714284491,SL,340s
2025-11-17T16:17:29.257685,EURUSD,BUY,0.0003614285714286236,TP,453s
2025-11-17T16:18:03.957163,EURUSD,BUY,0.0003645714285713808,TP,455s
2025-11-17T16:18:04.462513,EURUSD,BUY,0.000359857142857134,TP,65s
2025-11-17T16:19:57.428969,EURUSD,SELL,-0.00013314285714294272,SL,55s
2025-11-17T16:23:58.099697,EURUSD,BUY,-0.00013599999999991397,SL,236s
2025-11-17T16:25:25.640596,EURUSD,BUY,-0.00013542857142856413,SL,353s
2025-11-17T16:25:30.150314,EURUSD,BUY,-9.790000000009513e-05,TrailSL,449s
2025-11-17T16:25:30.150314,EURUSD,BUY,8.099999999999774e-05,TrailSL,479s
2025-11-17T16:27:35.781841,EURUSD,SELL,-0.000124000000000013,SL,126s
2025-11-17T16:32:23.551158,EURUSD,SELL,-9.109999999967755e-05,TrailSL,513s
2025-11-17T16:32:23.553158,EURUSD,SELL,9.900000000007125e-06,TrailSL,680s
2025-11-18T12:04:59.654773,EURUSD,BUY,0.0003347142857144103,TP,172s
2025-11-18T12:09:57.279739,EURUSD,BUY,0.0003567142857143768,TP,344s
2025-11-18T12:12:02.184290,EURUSD,SELL,-6.02999999999021e-05,TrailSL,57s
2025-11-18T12:12:53.153223,EURUSD,BUY,0.0003457142857141715,TP,459s
2025-11-18T12:13:57.120979,EURUSD,BUY,-0.00012000000000012001,SL,13s
2025-11-18T12:16:35.249933,EURUSD,BUY,-0.00011999999999989797,SL,204s
2025-11-18T12:16:55.867447,EURUSD,BUY,3.420000000020629e-05,TrailSL,289s
2025-11-18T12:16:55.867447,EURUSD,BUY,2.9700000000021376e-05,TrailSL,536s
2025-11-18T12:20:54.929444,EURUSD,SELL,0.0003692857142856276,TP,236s
2025-11-18T12:27:39.608785,EURUSD,SELL,0.0003362857142856779,TP,505s
2025-11-18T12:34:37.739420,EURUSD,BUY,0.00032999999999994145,TP,105s
2025-11-18T12:37:12.094556,EURUSD,BUY,-3.9200000000017e-05,TrailSL,166s
2025-11-18T12:37:12.095561,EURUSD,BUY,4.080000000006301e-05,TrailSL,197s
2025-11-18T12:41:31.021401,EURUSD,SELL,6.750000000010914e-05,TrailSL,261s
2025-11-18T13:08:16.798564,EURUSD,BUY,-0.0001234115740742503,TrailSL,125s
2025-11-18T13:08:20.508865,EURUSD,BUY,7.878842592590196e-05,TrailSL,477s
2025-11-18T13:08:21.501716,EURUSD,BUY,-0.00013942857142867915,SL,322s
2025-11-18T13:08:21.501716,EURUSD,BUY,-7.811574073812722e-06,TrailSL,387s
2025-11-18T13:09:37.335110,EURUSD,SELL,0.0003567142857143768,TP,85s
2025-11-18T13:09:42.297966,EURUSD,SELL,0.0003865714285713473,TP,334s
2025-11-18T13:09:56.899059,EURUSD,SELL,0.00036771428571436005,TP,72s
2025-11-18T13:14:30.131278,EURUSD,BUY,-0.00012799999999990597,SL,68s
2025-11-18T13:15:38.896654,EURUSD,SELL,9.658842592608075e-05,TrailSL,384s
2025-11-18T13:15:38.896654,EURUSD,SELL,6.588425925935226e-06,TrailSL,352s
2025-11-18T13:15:43.947966,EURUSD,SELL,-0.00012857142857147785,SL,47s
2025-11-18T13:18:09.149027,EURUSD,BUY,0.00035042857142864037,TP,125s
2025-11-18T13:20:42.505907,EURUSD,BUY,0.00035199999999990794,TP,119s
2025-11-18T13:22:54.190602,EURUSD,BUY,4.770000000009489e-05,TrailSL,159s
2025-11-18T13:22:56.177638,EURUSD,BUY,-0.00013828571428575742,SL,131s
2025-11-18T13:23:53.637565,EURUSD,SELL,5.699999999997374e-06,TrailSL,127s
2025-11-18T13:24:28.640886,EURUSD,BUY,-0.0001451428571428437,SL,41s
2025-11-18T13:26:14.289372,EURUSD,SELL,-0.000140000000000029,SL,177s
2025-11-18T13:26:27.148180,EURUSD,BUY,0.00041800000000002946,TP,62s
