timestamp,open,high,low,close
2025-10-28T19:20:00,3955.01,3955.57,3954.04,3955.07
2025-10-28T19:21:00,3955.06,3957.15,3955.04,3957.15
2025-10-28T19:22:00,3957.14,3957.55,3955.3,3955.8
2025-10-28T19:23:00,3955.86,3956.21,3955.27,3955.39
2025-10-28T19:24:00,3955.46,3956.33,3955.25,3955.56
2025-10-28T19:25:00,3955.55,3955.95,3954.61,3955.53
2025-10-28T19:26:00,3955.56,3957.49,3955.54,3957.44
2025-10-28T19:27:00,3957.42,3957.94,3956.43,3956.52
2025-10-28T19:28:00,3956.56,3957.29,3956.39,3957.0
2025-10-28T19:29:00,3956.98,3957.17,3955.63,3955.63
2025-10-28T19:30:00,3955.64,3956.96,3954.53,3955.03
2025-10-28T19:31:00,3955.04,3955.04,3952.43,3952.78
2025-10-28T19:32:00,3952.82,3953.06,3950.77,3952.28
2025-10-28T19:33:00,3952.27,3954.3,3952.11,3953.93
2025-10-28T19:34:00,3953.95,3955.82,3952.89,3955.74
2025-10-28T19:35:00,3955.72,3957.43,3954.95,3956.56
2025-10-28T19:36:00,3956.59,3957.2,3956.23,3956.6
2025-10-28T19:37:00,3956.62,3956.67,3955.3,3955.65
2025-10-28T19:38:00,3955.66,3956.18,3955.52,3955.83
2025-10-28T19:39:00,3955.77,3956.41,3955.47,3955.87
2025-10-28T19:40:00,3955.88,3956.22,3955.02,3956.0
2025-10-28T19:41:00,3955.99,3956.06,3954.76,3955.65
2025-10-28T19:42:00,3955.67,3956.61,3954.98,3955.84
2025-10-28T19:43:00,3955.87,3956.57,3955.5,3956.32
2025-10-28T19:44:00,3956.33,3956.68,3955.48,3956.25
2025-10-28T19:45:00,3956.27,3957.03,3955.72,3956.27
2025-10-28T19:46:00,3956.3,3956.44,3954.97,3955.34
2025-10-28T19:47:00,3955.36,3955.68,3955.02,3955.41
2025-10-28T19:48:00,3955.42,3956.23,3955.01,3955.89
2025-10-28T19:49:00,3955.87,3957.19,3955.87,3956.86
2025-10-28T19:50:00,3956.67,3956.95,3955.21,3955.27
2025-10-28T19:51:00,3955.23,3957.01,3954.93,3956.59
2025-10-28T19:52:00,3956.51,3960.16,3956.39,3959.33
2025-10-28T19:53:00,3959.37,3961.91,3959.04,3961.36
2025-10-28T19:54:00,3961.39,3962.63,3960.87,3962.63
2025-10-28T19:55:00,3962.56,3962.58,3959.21,3960.5
2025-10-28T19:56:00,3960.51,3961.42,3959.95,3960.34
2025-10-28T19:57:00,3960.24,3960.4,3959.07,3959.34
2025-10-28T19:58:00,3959.36,3960.77,3958.89,3959.88
2025-10-28T19:59:00,3959.94,3961.67,3959.62,3960.1
2025-10-28T20:00:00,3960.13,3960.88,3959.58,3959.9
2025-10-28T20:01:00,3959.92,3959.92,3958.39,3958.62
2025-10-28T20:02:00,3958.59,3959.88,3958.51,3959.85
2025-10-28T20:03:00,3959.86,3960.03,3958.31,3958.55
2025-10-28T20:04:00,3958.49,3958.7,3957.96,3958.2
2025-10-28T20:05:00,3958.19,3958.5,3955.6,3955.6
2025-10-28T20:06:00,3955.61,3956.86,3952.69,3952.79
2025-10-28T20:07:00,3952.8,3953.52,3951.82,3953.45
2025-10-28T20:08:00,3953.46,3955.15,3952.91,3954.31
2025-10-28T20:09:00,3954.32,3954.47,3953.5,3954.44
2025-10-28T20:10:00,3954.48,3954.49,3953.53,3954.2
2025-10-28T20:11:00,3954.18,3954.18,3952.9,3953.05
2025-10-28T20:12:00,3953.11,3953.59,3952.32,3953.52
2025-10-28T20:13:00,3953.53,3953.66,3953.13,3953.27
2025-10-28T20:14:00,3953.24,3954.49,3953.24,3954.13
2025-10-28T20:15:00,3954.12,3954.97,3953.65,3953.97
