timestamp,ask,ask_size,bid,bid_size
1768465013451,6938.3,20.0,6937.8,20.0
1768465013615,6938.2,20.0,6937.7,20.0
1768465014415,6938.1,20.0,6937.6,20.0
1768465015247,6938.0,20.0,6937.5,20.0
1768465015802,6938.1,20.0,6937.6,20.0
1768465020729,6938.3,20.0,6937.8,20.0
1768465021128,6938.1,20.0,6937.6,20.0
1768465023134,6938.4,20.0,6937.9,20.0
1768465024539,6938.3,20.0,6937.8,20.0
1768465025282,6938.1,20.0,6937.6,20.0
1768465027826,6937.8,20.0,6937.3,20.0
1768465028753,6937.3,20.0,6936.8,20.0
1768465034008,6937.4,20.0,6936.9,20.0
1768465034408,6937.6,20.0,6937.1,20.0
1768465034807,6937.8,20.0,6937.3,20.0
1768465035206,6937.6,20.0,6937.1,20.0
1768465036805,6937.7,20.0,6937.2,20.0
1768465037206,6937.8,20.0,6937.3,20.0
1768465037875,6937.7,20.0,6937.2,20.0
1768465038275,6937.5,20.0,6937.0,20.0
1768465038676,6937.8,20.0,6937.3,20.0
1768465039076,6937.5,20.0,6937.0,20.0
1768465040076,6937.8,20.0,6937.3,20.0
1768465044102,6937.7,20.0,6937.2,20.0
1768465044500,6937.5,20.0,6937.0,20.0
1768465046333,6937.4,20.0,6936.9,20.0
1768465046733,6937.3,20.0,6936.8,20.0
1768465047133,6937.5,20.0,6937.0,20.0
1768465047927,6937.4,20.0,6936.9,20.0
1768465049621,6937.5,20.0,6937.0,20.0
1768465050904,6937.4,20.0,6936.9,20.0
1768465051705,6937.5,20.0,6937.0,20.0
1768465056466,6938.3,20.0,6937.8,20.0
1768465057269,6938.0,20.0,6937.5,20.0
1768465057667,6938.1,20.0,6937.6,20.0
1768465058154,6938.0,20.0,6937.5,20.0
1768465058954,6938.1,20.0,6937.6,20.0
1768465059353,6938.3,20.0,6937.8,20.0
1768465061053,6938.4,20.0,6937.9,20.0
1768465064126,6938.6,20.0,6938.1,20.0
1768465065011,6938.5,20.0,6938.0,20.0
1768465065410,6938.4,20.0,6937.9,20.0
1768465069112,6938.5,20.0,6938.0,20.0
1768465069514,6938.1,20.0,6937.6,20.0
1768465070546,6937.9,20.0,6937.4,20.0
1768465072294,6937.8,20.0,6937.3,20.0
1768465072853,6937.9,20.0,6937.4,20.0
1768465073254,6937.8,20.0,6937.3,20.0
1768465079138,6937.9,20.0,6937.4,20.0
1768465079536,6937.6,20.0,6937.1,20.0
1768465079938,6937.8,20.0,6937.3,20.0
1768465081138,6937.6,20.0,6937.1,20.0
1768465082996,6937.4,20.0,6936.9,20.0
1768465083797,6937.3,20.0,6936.8,20.0
1768465084966,6937.2,20.0,6936.7,20.0
1768465085359,6937.1,20.0,6936.6,20.0
1768465086590,6937.2,20.0,6936.7,20.0
1768465086990,6936.9,20.0,6936.4,20.0
1768465087531,6936.8,20.0,6936.3,20.0
1768465090411,6936.7,20.0,6936.2,20.0
1768465090813,6936.6,20.0,6936.1,20.0
1768465091212,6936.3,20.0,6935.8,20.0
1768465091612,6936.6,20.0,6936.1,20.0
1768465092012,6936.8,20.0,6936.3,20.0
1768465093703,6936.7,20.0,6936.2,20.0
1768465094104,6937.1,20.0,6936.6,20.0
1768465094282,6937.0,20.0,6936.5,20.0
