epic,size,pnl,direction,exit_type,entry_price,exit_price,opened_at,closed_at,hook_name,spread_cost
GOOGL,4.339262873546003,35.93041884454148,BUY,EOW_CLOSE,230.45388793945312,239.1699981689453,2025-09-03 00:00:00-04:00,2025-09-10 00:00:00-04:00,ATR BRK OUT,1.891074676028499
GOOGL,3.9744048232352283,3.4736229020226372,BUY,EOW_CLOSE,251.61000061035156,252.52999877929688,2025-09-15 00:00:00-04:00,2025-09-22 00:00:00-04:00,ATR BRK OUT,0.1828222580011914
GOOGL,3.7137447201708995,67.49175689886903,BUY,EOW_CLOSE,269.2699890136719,288.3999938964844,2025-10-27 00:00:00-04:00,2025-10-30 00:00:00-04:00,ATR BRK OUT,3.5521977315194224
GOOGL,3.4674064534097417,0.0,BUY,EOW_CLOSE,288.3999938964844,288.3999938964844,2025-10-30 00:00:00-04:00,2025-10-30 00:00:00-04:00,ATR BRK OUT,0.0
