epic,size,pnl,direction,exit_type,entry_price,exit_price,opened_at,closed_at,hook_name,spread_cost
ORCL,4.429909105614087,-36.35044731971741,SELL,SL,225.73826599121094,233.55320593974224,2025-08-29 00:00:00-04:00,2025-09-05 00:00:00-04:00,ATR BRK OUT,1.7309736818913053
ORCL,4.302986845148874,123.82649418312005,BUY,TP,232.39671325683594,262.6881556381768,2025-09-05 00:00:00-04:00,2025-09-10 00:00:00-04:00,ATR BRK OUT,6.51718390437474
ORCL,3.0510017663743443,-40.859283036308405,BUY,SL,327.7611999511719,315.0068307729576,2025-09-10 00:00:00-04:00,2025-09-11 00:00:00-04:00,ATR BRK OUT,1.9456801445861147
ORCL,3.052675325043126,-51.76406184795193,BUY,SL,327.5815124511719,311.4320365742499,2025-09-22 00:00:00-04:00,2025-09-23 00:00:00-04:00,ATR BRK OUT,2.464955326092949
