epic,size,pnl,direction,exit_type,entry_price,exit_price,opened_at,closed_at,hook_name,spread_cost
TSLA,2.4184382297457274,59.321888164945044,BUY,EOW_CLOSE,413.489990234375,439.30999755859375,2025-10-10 00:00:00-04:00,2025-10-17 00:00:00-04:00,ATR BRK OUT,3.1222046402602657
TSLA,2.2780599977655993,-45.93048180259841,BUY,SL,438.9700012207031,419.7679977416992,2025-10-22 00:00:00-04:00,2025-10-23 00:00:00-04:00,ATR BRK OUT,2.1871658001237333
TSLA,2.252759661522311,0.0,BUY,EOW_CLOSE,443.8999938964844,443.8999938964844,2025-10-30 00:00:00-04:00,2025-10-30 00:00:00-04:00,ATR BRK OUT,0.0
