epic,size,pnl,direction,exit_type,entry_price,exit_price,opened_at,closed_at,hook_name,spread_cost
NVDA,5.639521535613076,-30.781158480865262,BUY,SL,177.32000732421875,172.12180232681402,2025-09-10 00:00:00-04:00,2025-09-17 00:00:00-04:00,ATR BRK OUT,1.4657694514697743
NVDA,5.446326434703045,-29.824542569477124,BUY,SL,183.61000061035156,178.39468224903237,2025-09-22 00:00:00-04:00,2025-09-23 00:00:00-04:00,ATR BRK OUT,1.4202163128322438
NVDA,5.459707250523886,-33.20949722974178,SELL,SL,183.16000366210938,188.95300521850587,2025-10-10 00:00:00-04:00,2025-10-13 00:00:00-04:00,ATR BRK OUT,1.5814046299877038
NVDA,4.974381963250478,10.424349636143571,BUY,EOW_CLOSE,201.02999877929688,203.23590087890625,2025-10-28 00:00:00-04:00,2025-10-30 00:00:00-04:00,ATR BRK OUT,0.5486499808496617
