timestamp,ask,ask_size,bid,bid_size
1768465013422,89.737,22000.0,89.687,22000.0
1768465013672,89.74,22000.0,89.69,22000.0
1768465013936,89.746,22000.0,89.696,22000.0
1768465015354,89.745,22000.0,89.695,22000.0
1768465015707,89.739,22000.0,89.707,22000.0
1768465015958,89.739,22000.0,89.679,22000.0
1768465016068,89.738,22000.0,89.678,22000.0
1768465016207,89.733,22000.0,89.683,22000.0
1768465016672,89.732,22000.0,89.682,22000.0
1768465016922,89.738,22000.0,89.678,22000.0
1768465017039,89.733,22000.0,89.673,22000.0
1768465017173,89.733,22000.0,89.683,22000.0
1768465017367,89.739,22000.0,89.689,22000.0
1768465017674,89.741,22000.0,89.691,22000.0
1768465018173,89.742,22000.0,89.692,22000.0
1768465018423,89.741,22000.0,89.691,22000.0
1768465018664,89.744,22000.0,89.694,22000.0
1768465018926,89.746,22000.0,89.696,22000.0
1768465019177,89.76,22000.0,89.7,22000.0
1768465019315,89.73,22000.0,89.698,22000.0
1768465019320,89.717,22000.0,89.669,22000.0
1768465019571,89.712,22000.0,89.662,22000.0
1768465019819,89.707,22000.0,89.659,22000.0
1768465020069,89.708,22000.0,89.66,22000.0
1768465020580,89.709,22000.0,89.661,22000.0
1768465020820,89.718,22000.0,89.668,22000.0
1768465021052,89.724,22000.0,89.674,22000.0
1768465021335,89.732,22000.0,89.672,22000.0
1768465021822,89.733,22000.0,89.673,22000.0
1768465022570,89.731,22000.0,89.671,22000.0
1768465022681,89.723,22000.0,89.663,22000.0
1768465024185,89.725,22000.0,89.665,22000.0
1768465024302,89.731,22000.0,89.671,22000.0
1768465024455,89.722,22000.0,89.672,22000.0
1768465024627,89.721,22000.0,89.661,22000.0
1768465027281,89.719,22000.0,89.659,22000.0
1768465027532,89.692,22000.0,89.66,22000.0
1768465027783,89.695,22000.0,89.645,22000.0
1768465028034,89.693,22000.0,89.643,22000.0
1768465028534,89.69,22000.0,89.64,22000.0
1768465029106,89.691,22000.0,89.641,22000.0
1768465029358,89.689,22000.0,89.639,22000.0
1768465029541,89.688,22000.0,89.628,22000.0
1768465029859,89.685,22000.0,89.635,22000.0
1768465030109,89.703,22000.0,89.643,22000.0
1768465030357,89.698,22000.0,89.648,22000.0
1768465031052,89.704,22000.0,89.644,22000.0
1768465031627,89.698,22000.0,89.648,22000.0
1768465032284,89.706,22000.0,89.658,22000.0
1768465032560,89.713,22000.0,89.663,22000.0
1768465032937,89.712,22000.0,89.662,22000.0
1768465033688,89.711,22000.0,89.661,22000.0
1768465033907,89.7,22000.0,89.668,22000.0
1768465034232,89.712,22000.0,89.68,22000.0
1768465034557,89.711,22000.0,89.679,22000.0
1768465036035,89.709,22000.0,89.677,22000.0
1768465037784,89.702,22000.0,89.682,22000.0
1768465037941,89.702,22000.0,89.652,22000.0
1768465038572,89.701,22000.0,89.651,22000.0
1768465038820,89.697,22000.0,89.649,22000.0
1768465039070,89.7,22000.0,89.64,22000.0
1768465039320,89.701,22000.0,89.641,22000.0
1768465039823,89.696,22000.0,89.646,22000.0
1768465040070,89.695,22000.0,89.645,22000.0
1768465040321,89.7,22000.0,89.64,22000.0
1768465041170,89.704,22000.0,89.656,22000.0
1768465041191,89.712,22000.0,89.68,22000.0
1768465041842,89.716,22000.0,89.666,22000.0
1768465042041,89.717,22000.0,89.667,22000.0
1768465042682,89.715,22000.0,89.665,22000.0
1768465042816,89.711,22000.0,89.661,22000.0
1768465042932,89.71,22000.0,89.66,22000.0
1768465043140,89.712,22000.0,89.652,22000.0
1768465043440,89.713,22000.0,89.653,22000.0
1768465043772,89.714,22000.0,89.654,22000.0
1768465044022,89.709,22000.0,89.659,22000.0
1768465044271,89.714,22000.0,89.664,22000.0
1768465044442,89.718,22000.0,89.67,22000.0
1768465044766,89.715,22000.0,89.683,22000.0
1768465045274,89.73,22000.0,89.68,22000.0
1768465045740,89.722,22000.0,89.69,22000.0
1768465046067,89.729,22000.0,89.679,22000.0
1768465046872,89.728,22000.0,89.678,22000.0
1768465047128,89.726,22000.0,89.676,22000.0
1768465047368,89.727,22000.0,89.667,22000.0
1768465047525,89.724,22000.0,89.674,22000.0
1768465050455,89.726,22000.0,89.676,22000.0
1768465050706,89.733,22000.0,89.683,22000.0
1768465057466,89.727,22000.0,89.695,22000.0
1768465058333,89.733,22000.0,89.683,22000.0
1768465058440,89.734,22000.0,89.684,22000.0
1768465059416,89.74,22000.0,89.68,22000.0
1768465059533,89.741,22000.0,89.681,22000.0
1768465059741,89.737,22000.0,89.677,22000.0
1768465060024,89.736,22000.0,89.676,22000.0
1768465062138,89.735,22000.0,89.685,22000.0
1768465062388,89.732,22000.0,89.7,22000.0
1768465065004,89.739,22000.0,89.689,22000.0
1768465066935,89.735,22000.0,89.703,22000.0
1768465068474,89.74,22000.0,89.7,22000.0
1768465068577,89.756,22000.0,89.696,22000.0
1768465068794,89.752,22000.0,89.692,22000.0
1768465069074,89.743,22000.0,89.693,22000.0
1768465069328,89.742,22000.0,89.692,22000.0
1768465069751,89.743,22000.0,89.693,22000.0
1768465070002,89.742,22000.0,89.692,22000.0
1768465070745,89.737,22000.0,89.687,22000.0
1768465071003,89.733,22000.0,89.685,22000.0
1768465071254,89.728,22000.0,89.678,22000.0
1768465072434,89.729,22000.0,89.679,22000.0
1768465072848,89.731,22000.0,89.681,22000.0
1768465074323,89.732,22000.0,89.682,22000.0
1768465074582,89.729,22000.0,89.679,22000.0
1768465075586,89.734,22000.0,89.674,22000.0
1768465076332,89.728,22000.0,89.678,22000.0
1768465076581,89.715,22000.0,89.683,22000.0
1768465076742,89.722,22000.0,89.69,22000.0
1768465080697,89.721,22000.0,89.671,22000.0
1768465083376,89.724,22000.0,89.674,22000.0
1768465083626,89.72,22000.0,89.67,22000.0
1768465084375,89.719,22000.0,89.669,22000.0
1768465084628,89.712,22000.0,89.668,22000.0
1768465085272,89.71,22000.0,89.66,22000.0
1768465085526,89.711,22000.0,89.661,22000.0
1768465085979,89.702,22000.0,89.67,22000.0
1768465086629,89.711,22000.0,89.661,22000.0
1768465086954,89.702,22000.0,89.652,22000.0
1768465088488,89.701,22000.0,89.651,22000.0
1768465088742,89.69,22000.0,89.64,22000.0
1768465088905,89.687,22000.0,89.637,22000.0
1768465089239,89.686,22000.0,89.636,22000.0
1768465089485,89.682,22000.0,89.634,22000.0
1768465089736,89.682,22000.0,89.632,22000.0
1768465089987,89.693,22000.0,89.643,22000.0
1768465090583,89.701,22000.0,89.641,22000.0
1768465092356,89.7,22000.0,89.64,22000.0
1768465092478,89.694,22000.0,89.644,22000.0
1768465093131,89.7,22000.0,89.65,22000.0
1768465093638,89.713,22000.0,89.653,22000.0
1768465093784,89.716,22000.0,89.656,22000.0
1768465094106,89.717,22000.0,89.667,22000.0
1768465094405,89.719,22000.0,89.669,22000.0
1768465094638,89.714,22000.0,89.664,22000.0
1768465096016,89.719,22000.0,89.669,22000.0
1768465096516,89.718,22000.0,89.668,22000.0
1768465097749,89.719,22000.0,89.669,22000.0
1768465098266,89.721,22000.0,89.671,22000.0
1768465102610,89.725,22000.0,89.675,22000.0
1768465102743,89.728,22000.0,89.678,22000.0
1768465102936,89.722,22000.0,89.69,22000.0
1768465106416,89.724,22000.0,89.674,22000.0
1768465106665,89.723,22000.0,89.673,22000.0
1768465107170,89.719,22000.0,89.669,22000.0
1768465109121,89.721,22000.0,89.671,22000.0
1768465113365,89.719,22000.0,89.669,22000.0
1768465113613,89.718,22000.0,89.668,22000.0
1768465113795,89.707,22000.0,89.675,22000.0
1768465114830,89.684,22000.0,89.664,22000.0
1768465115162,89.685,22000.0,89.653,22000.0
1768465117777,89.706,22000.0,89.646,22000.0
1768465118027,89.716,22000.0,89.656,22000.0
1768465118512,89.721,22000.0,89.671,22000.0
1768465119157,89.715,22000.0,89.683,22000.0
1768465119483,89.726,22000.0,89.676,22000.0
1768465120035,89.722,22000.0,89.69,22000.0
1768465122241,89.73,22000.0,89.698,22000.0
1768465122703,89.724,22000.0,89.68,22000.0
1768465122992,89.721,22000.0,89.671,22000.0
1768465123244,89.732,22000.0,89.682,22000.0
